ULCS_NO,SCHOOL_YEAR,INCIDENT_TYPE,INCIDENT_COUNT,SCHOOL_ID
"1400","2013-2014","THREATS",0,"140"
"6440","2013-2014","THEFT",1,"644"
"7110","2013-2014","ASSAULTS",28,"711"
"7150","2013-2014","SUICIDE",0,"715"
"7270","2013-2014","BURGLARY",0,"727"
"7280","2013-2014","BURGLARY",0,"728"
"7310","2013-2014","MORALS OFFENSES",1,"731"
"7350","2013-2014","SUICIDE",0,"735"
"7360","2013-2014","VANDALISM",0,"736"
"7510","2013-2014","BURGLARY",0,"751"
"7730","2013-2014","DISORDERLY CONDUCT",28,"773"
"8010","2013-2014","BULLYING",0,"801"
"8010","2013-2014","THEFT",15,"801"
"8020","2013-2014","TRESPASSING",0,"802"
"2190","2013-2014","SUICIDE",1,"219"
"2240","2013-2014","ROBBERY",0,"224"
"2410","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"241"
"2490","2013-2014","HARASSMENT",0,"249"
"2650","2013-2014","DISORDERLY CONDUCT",2,"265"
"2650","2013-2014","SUICIDE",1,"265"
"2690","2013-2014","BOMB SCARE",0,"269"
"2630","2013-2014","TAKE OFF",0,"263"
"7130","2013-2014","THREATS",2,"713"
"7260","2013-2014","TRESPASSING",0,"726"
"7310","2013-2014","HARASSMENT",0,"731"
"7320","2013-2014","BOMB SCARE",0,"732"
"7330","2013-2014","BULLYING",0,"733"
"7440","2013-2014","ASSAULTS",3,"744"
"7490","2013-2014","WEAPONS",1,"749"
"7500","2013-2014","ASSAULTS",10,"750"
"8030","2013-2014","VANDALISM",6,"803"
"8040","2013-2014","VANDALISM",0,"804"
"8090","2013-2014","DRUGS & ALCOHOL OFFENSE",5,"809"
"8090","2013-2014","TRESPASSING",0,"809"
"2650","2013-2014","MORALS OFFENSES",0,"265"
"2690","2013-2014","THREATS",0,"269"
"8260","2013-2014","BURGLARY",0,"826"
"8340","2013-2014","THREATS",1,"834"
"8390","2013-2014","BURGLARY",0,"839"
"8400","2013-2014","ASSAULTS",0,"840"
"8400","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"840"
"8430","2013-2014","ROBBERY",0,"843"
"8430","2013-2014","TRESPASSING",0,"843"
"8560","2013-2014","ROBBERY",0,"856"
"4020","2013-2014","VANDALISM",1,"402"
"4300","2013-2014","WEAPONS",6,"430"
"4320","2013-2014","ROBBERY",0,"432"
"4380","2013-2014","THEFT",0,"438"
"4460","2013-2014","ROBBERY",0,"446"
"4470","2013-2014","ASSAULTS",9,"447"
"4480","2013-2014","THEFT",0,"448"
"4530","2013-2014","FIRE - INCENDIARY",1,"453"
"4570","2013-2014","ASSAULTS",4,"457"
"5020","2013-2014","FIRE - INCENDIARY",7,"502"
"5020","2013-2014","HARASSMENT",2,"502"
"2140","2013-2014","TAKE OFF",0,"214"
"2160","2013-2014","DISORDERLY CONDUCT",19,"216"
"8340","2013-2014","BULLYING",0,"834"
"2210","2013-2014","ASSAULTS",10,"221"
"2340","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"234"
"2340","2013-2014","TRESPASSING",0,"234"
"2370","2013-2014","BOMB SCARE",0,"237"
"2390","2013-2014","VANDALISM",1,"239"
"2540","2013-2014","SUICIDE",0,"254"
"2630","2013-2014","SUICIDE",0,"263"
"2640","2013-2014","TAKE OFF",0,"264"
"2650","2013-2014","VANDALISM",0,"265"
"2670","2013-2014","THREATS",1,"267"
"8370","2013-2014","SUICIDE",0,"837"
"8390","2013-2014","HARASSMENT",1,"839"
"8400","2013-2014","WEAPONS",0,"840"
"8430","2013-2014","MORALS OFFENSES",0,"843"
"4020","2013-2014","MORALS OFFENSES",0,"402"
"1130","2013-2014","VANDALISM",5,"113"
"1280","2013-2014","ROBBERY",0,"128"
"1290","2013-2014","THEFT",0,"129"
"1390","2013-2014","ROBBERY",0,"139"
"1420","2013-2014","MORALS OFFENSES",0,"142"
"1440","2013-2014","ASSAULTS",9,"144"
"4030","2013-2014","WEAPONS",2,"403"
"4060","2013-2014","BURGLARY",0,"406"
"4140","2013-2014","FIRE - INCENDIARY",0,"414"
"4270","2013-2014","MORALS OFFENSES",0,"427"
"4280","2013-2014","DISORDERLY CONDUCT",12,"428"
"4300","2013-2014","THEFT",2,"430"
"4320","2013-2014","FIRE - INCENDIARY",0,"432"
"4350","2013-2014","VANDALISM",22,"435"
"4440","2013-2014","ASSAULTS",8,"444"
"4440","2013-2014","THEFT",7,"444"
"4460","2013-2014","BURGLARY",0,"446"
"4480","2013-2014","SUICIDE",0,"448"
"4320","2013-2014","ASSAULTS",10,"432"
"4440","2013-2014","TRESPASSING",0,"444"
"4460","2013-2014","FIRE - INCENDIARY",1,"446"
"4460","2013-2014","TAKE OFF",0,"446"
"4460","2013-2014","WEAPONS",2,"446"
"4530","2013-2014","SUICIDE",0,"453"
"4570","2013-2014","MORALS OFFENSES",2,"457"
"5020","2013-2014","BOMB SCARE",1,"502"
"5070","2013-2014","THREATS",4,"507"
"5080","2013-2014","FIRE - INCENDIARY",0,"508"
"5230","2013-2014","TRESPASSING",0,"523"
"5390","2013-2014","TRESPASSING",0,"539"
"5150","2013-2014","BOMB SCARE",0,"515"
"5150","2013-2014","TRESPASSING",0,"515"
"5250","2013-2014","WEAPONS",3,"525"
"5260","2013-2014","DISORDERLY CONDUCT",22,"526"
"5260","2013-2014","ROBBERY",0,"526"
"5340","2013-2014","BULLYING",0,"534"
"5410","2013-2014","ROBBERY",0,"541"
"5430","2013-2014","FIRE - INCENDIARY",0,"543"
"5480","2013-2014","VANDALISM",2,"548"
"5500","2013-2014","THREATS",1,"550"
"5680","2013-2014","ROBBERY",0,"568"
"6010","2013-2014","BURGLARY",2,"601"
"6020","2013-2014","ROBBERY",0,"602"
"6050","2013-2014","BULLYING",0,"605"
"6070","2013-2014","WEAPONS",0,"607"
"6210","2013-2014","FIRE - INCENDIARY",0,"621"
"4320","2013-2014","BURGLARY",0,"432"
"5020","2013-2014","BURGLARY",0,"502"
"1260","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"126"
"1260","2013-2014","THREATS",0,"126"
"1290","2013-2014","HARASSMENT",0,"129"
"1300","2013-2014","FIRE - INCENDIARY",0,"130"
"1330","2013-2014","BULLYING",0,"133"
"1360","2013-2014","BURGLARY",0,"136"
"1380","2013-2014","DISORDERLY CONDUCT",17,"138"
"4240","2013-2014","TAKE OFF",0,"424"
"4350","2013-2014","ASSAULTS",17,"435"
"4350","2013-2014","THEFT",5,"435"
"4350","2013-2014","WEAPONS",3,"435"
"4460","2013-2014","HARASSMENT",0,"446"
"5050","2013-2014","DISORDERLY CONDUCT",2,"505"
"5070","2013-2014","BULLYING",0,"507"
"5080","2013-2014","TRESPASSING",0,"508"
"5160","2013-2014","TAKE OFF",0,"516"
"5250","2013-2014","BURGLARY",0,"525"
"5250","2013-2014","FIRE - INCENDIARY",0,"525"
"5250","2013-2014","ROBBERY",0,"525"
"2130","2013-2014","TAKE OFF",0,"213"
"2190","2013-2014","FIRE - INCENDIARY",0,"219"
"2190","2013-2014","HARASSMENT",0,"219"
"2240","2013-2014","BURGLARY",0,"224"
"2320","2013-2014","ROBBERY",0,"232"
"2370","2013-2014","ROBBERY",0,"237"
"2470","2013-2014","FIRE - INCENDIARY",0,"247"
"2490","2013-2014","FIRE - INCENDIARY",0,"249"
"2520","2013-2014","TAKE OFF",0,"252"
"2590","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"259"
"6010","2013-2014","MORALS OFFENSES",0,"601"
"6010","2013-2014","WEAPONS",2,"601"
"6090","2013-2014","HARASSMENT",0,"609"
"6230","2013-2014","ASSAULTS",0,"623"
"6300","2013-2014","ASSAULTS",1,"630"
"6340","2013-2014","MORALS OFFENSES",0,"634"
"6340","2013-2014","TAKE OFF",0,"634"
"6360","2013-2014","ROBBERY",0,"636"
"6430","2013-2014","TRESPASSING",0,"643"
"6470","2013-2014","THREATS",5,"647"
"7010","2013-2014","ASSAULTS",24,"701"
"7100","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"710"
"7120","2013-2014","WEAPONS",10,"712"
"7130","2013-2014","BURGLARY",0,"713"
"7260","2013-2014","THREATS",3,"726"
"7280","2013-2014","HARASSMENT",0,"728"
"5080","2013-2014","ROBBERY",0,"508"
"5150","2013-2014","VANDALISM",0,"515"
"5170","2013-2014","BULLYING",0,"517"
"5210","2013-2014","ASSAULTS",7,"521"
"5330","2013-2014","BOMB SCARE",0,"533"
"5410","2013-2014","HARASSMENT",0,"541"
"5430","2013-2014","BOMB SCARE",0,"543"
"5520","2013-2014","TRESPASSING",0,"552"
"5600","2013-2014","DISORDERLY CONDUCT",18,"560"
"6030","2013-2014","BURGLARY",0,"603"
"1010","2013-2014","THREATS",6,"101"
"1030","2013-2014","WEAPONS",2,"103"
"1060","2013-2014","DISORDERLY CONDUCT",0,"106"
"1190","2013-2014","DISORDERLY CONDUCT",4,"119"
"1190","2013-2014","ROBBERY",0,"119"
"1200","2013-2014","THEFT",1,"120"
"1340","2013-2014","THREATS",3,"134"
"1400","2013-2014","FIRE - INCENDIARY",0,"140"
"2000","2013-2014","SUICIDE",0,"200"
"2000","2013-2014","THEFT",10,"200"
"6260","2013-2014","SUICIDE",0,"626"
"6340","2013-2014","THEFT",0,"634"
"6360","2013-2014","ASSAULTS",24,"636"
"6380","2013-2014","SUICIDE",0,"638"
"6450","2013-2014","MORALS OFFENSES",1,"645"
"6470","2013-2014","HARASSMENT",0,"647"
"7100","2013-2014","SUICIDE",0,"710"
"7110","2013-2014","FIRE - INCENDIARY",0,"711"
"7280","2013-2014","FIRE - INCENDIARY",0,"728"
"7290","2013-2014","TRESPASSING",0,"729"
"7330","2013-2014","DISORDERLY CONDUCT",6,"733"
"7350","2013-2014","ROBBERY",0,"735"
"7360","2013-2014","ASSAULTS",3,"736"
"7390","2013-2014","WEAPONS",1,"739"
"7400","2013-2014","ROBBERY",0,"740"
"7400","2013-2014","THREATS",6,"740"
"7510","2013-2014","THEFT",0,"751"
"7530","2013-2014","HARASSMENT",0,"753"
"1030","2013-2014","DRUGS & ALCOHOL OFFENSE",6,"103"
"1100","2013-2014","FIRE - INCENDIARY",0,"110"
"1100","2013-2014","VANDALISM",3,"110"
"1230","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"123"
"1260","2013-2014","DISORDERLY CONDUCT",7,"126"
"1330","2013-2014","FIRE - INCENDIARY",1,"133"
"1340","2013-2014","SUICIDE",0,"134"
"1360","2013-2014","BOMB SCARE",0,"136"
"1370","2013-2014","ASSAULTS",13,"137"
"1370","2013-2014","VANDALISM",6,"137"
"4030","2013-2014","THEFT",2,"403"
"4530","2013-2014","BOMB SCARE",0,"453"
"4560","2013-2014","BOMB SCARE",0,"456"
"5170","2013-2014","TAKE OFF",0,"517"
"5330","2013-2014","VANDALISM",2,"533"
"5430","2013-2014","BURGLARY",0,"543"
"5480","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"548"
"4020","2013-2014","SUICIDE",0,"402"
"4020","2013-2014","THREATS",11,"402"
"1030","2013-2014","BULLYING",0,"103"
"1130","2013-2014","BULLYING",0,"113"
"1300","2013-2014","THREATS",2,"130"
"1370","2013-2014","FIRE - INCENDIARY",1,"137"
"1440","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"144"
"4300","2013-2014","BULLYING",0,"430"
"4440","2013-2014","SUICIDE",0,"444"
"4440","2013-2014","WEAPONS",1,"444"
"4530","2013-2014","MORALS OFFENSES",0,"453"
"4530","2013-2014","WEAPONS",1,"453"
"5080","2013-2014","ASSAULTS",1,"508"
"5470","2013-2014","BURGLARY",0,"547"
"2340","2013-2014","VANDALISM",0,"234"
"2620","2013-2014","BOMB SCARE",0,"262"
"2620","2013-2014","MORALS OFFENSES",0,"262"
"2620","2013-2014","TRESPASSING",2,"262"
"2630","2013-2014","FIRE - INCENDIARY",0,"263"
"2630","2013-2014","WEAPONS",0,"263"
"2690","2013-2014","FIRE - INCENDIARY",0,"269"
"2720","2013-2014","TAKE OFF",0,"272"
"6340","2013-2014","FIRE - INCENDIARY",0,"634"
"6450","2013-2014","BULLYING",0,"645"
"6460","2013-2014","HARASSMENT",0,"646"
"6470","2013-2014","FIRE - INCENDIARY",0,"647"
"6540","2013-2014","TRESPASSING",0,"654"
"7010","2013-2014","THREATS",10,"701"
"7110","2013-2014","TAKE OFF",0,"711"
"7130","2013-2014","BOMB SCARE",0,"713"
"7200","2013-2014","TRESPASSING",0,"720"
"7220","2013-2014","SUICIDE",0,"722"
"7260","2013-2014","BOMB SCARE",0,"726"
"7330","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"733"
"7370","2013-2014","ROBBERY",1,"737"
"2000","2013-2014","ASSAULTS",16,"200"
"2010","2013-2014","DRUGS & ALCOHOL OFFENSE",6,"201"
"2090","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"209"
"2260","2013-2014","THREATS",6,"226"
"2480","2013-2014","VANDALISM",0,"248"
"2540","2013-2014","THEFT",1,"254"
"2620","2013-2014","ASSAULTS",1,"262"
"2720","2013-2014","BULLYING",0,"272"
"8040","2013-2014","BURGLARY",0,"804"
"8120","2013-2014","HARASSMENT",0,"812"
"8200","2013-2014","FIRE - INCENDIARY",0,"820"
"8260","2013-2014","FIRE - INCENDIARY",0,"826"
"8300","2013-2014","MORALS OFFENSES",7,"830"
"8350","2013-2014","TAKE OFF",0,"835"
"8400","2013-2014","BOMB SCARE",0,"840"
"8410","2013-2014","DRUGS & ALCOHOL OFFENSE",2,"841"
"8420","2013-2014","ASSAULTS",1,"842"
"8430","2013-2014","BURGLARY",0,"843"
"5490","2013-2014","BOMB SCARE",0,"549"
"5490","2013-2014","HARASSMENT",0,"549"
"5500","2013-2014","MORALS OFFENSES",1,"550"
"5510","2013-2014","THEFT",2,"551"
"5680","2013-2014","ASSAULTS",11,"568"
"6310","2013-2014","BOMB SCARE",0,"631"
"6340","2013-2014","BOMB SCARE",0,"634"
"6380","2013-2014","DISORDERLY CONDUCT",6,"638"
"6430","2013-2014","TAKE OFF",0,"643"
"6450","2013-2014","DISORDERLY CONDUCT",2,"645"
"6460","2013-2014","SUICIDE",0,"646"
"6460","2013-2014","THEFT",0,"646"
"7110","2013-2014","SUICIDE",5,"711"
"2340","2013-2014","BURGLARY",0,"234"
"2450","2013-2014","BOMB SCARE",0,"245"
"2510","2013-2014","ASSAULTS",3,"251"
"2510","2013-2014","BULLYING",0,"251"
"2510","2013-2014","MORALS OFFENSES",0,"251"
"2630","2013-2014","THEFT",1,"263"
"2640","2013-2014","BURGLARY",1,"264"
"2640","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"264"
"5550","2013-2014","MORALS OFFENSES",0,"555"
"5560","2013-2014","WEAPONS",0,"556"
"5680","2013-2014","THREATS",3,"568"
"6020","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"602"
"6090","2013-2014","THREATS",3,"609"
"6200","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"620"
"6250","2013-2014","BURGLARY",1,"625"
"6360","2013-2014","SUICIDE",0,"636"
"6440","2013-2014","HARASSMENT",0,"644"
"6460","2013-2014","TRESPASSING",0,"646"
"6470","2013-2014","BURGLARY",0,"647"
"7120","2013-2014","SUICIDE",0,"712"
"8040","2013-2014","ASSAULTS",1,"804"
"8040","2013-2014","BOMB SCARE",0,"804"
"4270","2013-2014","THREATS",0,"427"
"8140","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"814"
"8200","2013-2014","TRESPASSING",0,"820"
"8360","2013-2014","BULLYING",0,"836"
"8380","2013-2014","BULLYING",0,"838"
"8380","2013-2014","HARASSMENT",0,"838"
"8390","2013-2014","BOMB SCARE",0,"839"
"8390","2013-2014","VANDALISM",2,"839"
"8410","2013-2014","BURGLARY",0,"841"
"4380","2013-2014","WEAPONS",0,"438"
"1580","2013-2014","VANDALISM",0,"158"
"2090","2013-2014","BURGLARY",0,"209"
"2210","2013-2014","TAKE OFF",0,"221"
"2260","2013-2014","WEAPONS",3,"226"
"2510","2013-2014","THREATS",0,"251"
"2520","2013-2014","FIRE - INCENDIARY",0,"252"
"2580","2013-2014","TRESPASSING",0,"258"
"2670","2013-2014","ROBBERY",0,"267"
"2690","2013-2014","TRESPASSING",0,"269"
"7380","2013-2014","BURGLARY",0,"738"
"8010","2013-2014","WEAPONS",9,"801"
"8030","2013-2014","DISORDERLY CONDUCT",27,"803"
"8380","2013-2014","THEFT",0,"838"
"5450","2013-2014","DISORDERLY CONDUCT",0,"545"
"5470","2013-2014","SUICIDE",1,"547"
"5600","2013-2014","BULLYING",0,"560"
"5600","2013-2014","THEFT",3,"560"
"6010","2013-2014","FIRE - INCENDIARY",0,"601"
"6010","2013-2014","THEFT",1,"601"
"6030","2013-2014","ASSAULTS",14,"603"
"6060","2013-2014","DRUGS & ALCOHOL OFFENSE",7,"606"
"6100","2013-2014","BULLYING",0,"610"
"6210","2013-2014","BURGLARY",0,"621"
"6220","2013-2014","DISORDERLY CONDUCT",3,"622"
"6220","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"622"
"6220","2013-2014","ROBBERY",0,"622"
"6220","2013-2014","SUICIDE",0,"622"
"6350","2013-2014","BOMB SCARE",0,"635"
"6380","2013-2014","BOMB SCARE",0,"638"
"6390","2013-2014","TRESPASSING",0,"639"
"6480","2013-2014","ASSAULTS",1,"648"
"6540","2013-2014","ROBBERY",0,"654"
"7010","2013-2014","DISORDERLY CONDUCT",24,"701"
"7220","2013-2014","ASSAULTS",10,"722"
"7350","2013-2014","BOMB SCARE",0,"735"
"7400","2013-2014","ASSAULTS",7,"740"
"7400","2013-2014","TAKE OFF",0,"740"
"7530","2013-2014","FIRE - INCENDIARY",0,"753"
"8020","2013-2014","ASSAULTS",17,"802"
"8120","2013-2014","VANDALISM",9,"812"
"8160","2013-2014","TAKE OFF",0,"816"
"8200","2013-2014","THREATS",1,"820"
"8210","2013-2014","MORALS OFFENSES",0,"821"
"8240","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"824"
"8320","2013-2014","BULLYING",1,"832"
"8430","2013-2014","ASSAULTS",1,"843"
"8430","2013-2014","FIRE - INCENDIARY",0,"843"
"4480","2013-2014","DISORDERLY CONDUCT",1,"448"
"5020","2013-2014","MORALS OFFENSES",3,"502"
"5050","2013-2014","ASSAULTS",5,"505"
"5060","2013-2014","SUICIDE",0,"506"
"5150","2013-2014","ROBBERY",0,"515"
"5160","2013-2014","MORALS OFFENSES",4,"516"
"5200","2013-2014","WEAPONS",0,"520"
"5320","2013-2014","ASSAULTS",4,"532"
"5320","2013-2014","HARASSMENT",0,"532"
"5340","2013-2014","FIRE - INCENDIARY",0,"534"
"5400","2013-2014","TRESPASSING",0,"540"
"5410","2013-2014","THEFT",0,"541"
"5430","2013-2014","VANDALISM",4,"543"
"5440","2013-2014","VANDALISM",2,"544"
"5530","2013-2014","FIRE - INCENDIARY",0,"553"
"5600","2013-2014","ASSAULTS",3,"560"
"5600","2013-2014","BOMB SCARE",0,"560"
"1030","2013-2014","HARASSMENT",0,"103"
"1030","2013-2014","TAKE OFF",0,"103"
"1190","2013-2014","DRUGS & ALCOHOL OFFENSE",2,"119"
"1250","2013-2014","MORALS OFFENSES",0,"125"
"1250","2013-2014","WEAPONS",0,"125"
"1370","2013-2014","THREATS",1,"137"
"1400","2013-2014","BULLYING",0,"140"
"1470","2013-2014","DISORDERLY CONDUCT",22,"147"
"2020","2013-2014","ASSAULTS",3,"202"
"5050","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"505"
"5150","2013-2014","TAKE OFF",0,"515"
"5400","2013-2014","FIRE - INCENDIARY",0,"540"
"5470","2013-2014","HARASSMENT",0,"547"
"5490","2013-2014","ASSAULTS",1,"549"
"5490","2013-2014","BURGLARY",0,"549"
"5530","2013-2014","BOMB SCARE",0,"553"
"6090","2013-2014","TRESPASSING",0,"609"
"6230","2013-2014","DISORDERLY CONDUCT",3,"623"
"6230","2013-2014","ROBBERY",0,"623"
"6270","2013-2014","ROBBERY",0,"627"
"1080","2013-2014","ASSAULTS",0,"108"
"1200","2013-2014","MORALS OFFENSES",2,"120"
"1290","2013-2014","SUICIDE",0,"129"
"1290","2013-2014","VANDALISM",1,"129"
"1350","2013-2014","FIRE - INCENDIARY",0,"135"
"1360","2013-2014","TRESPASSING",0,"136"
"1380","2013-2014","SUICIDE",3,"138"
"1390","2013-2014","DISORDERLY CONDUCT",2,"139"
"1580","2013-2014","SUICIDE",1,"158"
"2010","2013-2014","SUICIDE",0,"201"
"1420","2013-2014","THEFT",4,"142"
"5350","2013-2014","WEAPONS",5,"535"
"5370","2013-2014","BULLYING",0,"537"
"5420","2013-2014","BOMB SCARE",0,"542"
"5430","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"543"
"5480","2013-2014","ASSAULTS",1,"548"
"5550","2013-2014","ASSAULTS",3,"555"
"6050","2013-2014","HARASSMENT",0,"605"
"6060","2013-2014","MORALS OFFENSES",3,"606"
"6070","2013-2014","ASSAULTS",0,"607"
"6230","2013-2014","SUICIDE",0,"623"
"6270","2013-2014","SUICIDE",0,"627"
"6320","2013-2014","MORALS OFFENSES",0,"632"
"6410","2013-2014","FIRE - INCENDIARY",1,"641"
"6430","2013-2014","FIRE - INCENDIARY",0,"643"
"1460","2013-2014","TRESPASSING",0,"146"
"1580","2013-2014","TRESPASSING",1,"158"
"2090","2013-2014","TRESPASSING",0,"209"
"2130","2013-2014","SUICIDE",0,"213"
"2410","2013-2014","FIRE - INCENDIARY",0,"241"
"2410","2013-2014","THEFT",0,"241"
"2510","2013-2014","DISORDERLY CONDUCT",4,"251"
"2590","2013-2014","TRESPASSING",0,"259"
"2670","2013-2014","DISORDERLY CONDUCT",5,"267"
"7300","2013-2014","FIRE - INCENDIARY",0,"730"
"7300","2013-2014","MORALS OFFENSES",1,"730"
"7390","2013-2014","TRESPASSING",0,"739"
"7400","2013-2014","TRESPASSING",0,"740"
"7440","2013-2014","THREATS",0,"744"
"7490","2013-2014","DISORDERLY CONDUCT",7,"749"
"8010","2013-2014","MORALS OFFENSES",2,"801"
"8160","2013-2014","THREATS",2,"816"
"8210","2013-2014","ROBBERY",0,"821"
"8560","2013-2014","SUICIDE",0,"856"
"7390","2013-2014","THEFT",1,"739"
"8140","2013-2014","THEFT",1,"814"
"8160","2013-2014","BURGLARY",0,"816"
"8240","2013-2014","ASSAULTS",6,"824"
"8260","2013-2014","WEAPONS",0,"826"
"8310","2013-2014","TAKE OFF",0,"831"
"8320","2013-2014","FIRE - INCENDIARY",1,"832"
"8350","2013-2014","FIRE - INCENDIARY",0,"835"
"8350","2013-2014","HARASSMENT",0,"835"
"8390","2013-2014","THREATS",4,"839"
"8400","2013-2014","MORALS OFFENSES",0,"840"
"8410","2013-2014","MORALS OFFENSES",1,"841"
"8430","2013-2014","THREATS",1,"843"
"1030","2013-2014","BURGLARY",0,"103"
"1100","2013-2014","ROBBERY",2,"110"
"1200","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"120"
